,actor_id,actor_name,degree_centrality
1309,nm0005068,Vinnie Jones,0.0017555343965722447
4252,nm0136797,Steve Carell,0.0017555343965722447
1886,nm0000112,Pierce Brosnan,0.0017555343965722447
632,nm0000128,Russell Crowe,0.0017555343965722447
836,nm0000237,John Travolta,0.0017555343965722447
2008,nm0000147,Colin Firth,0.0017257795762913592
503,nm0000838,Daniel Baldwin,0.0017257795762913592
2168,nm0004266,Anne Hathaway,0.0017257795762913592
2563,nm0519043,Justin Long,0.0017257795762913592
3340,nm0461136,Keira Knightley,0.0017257795762913592
1192,nm0654110,Clive Owen,0.0017257795762913592
5040,nm0174021,Scout Taylor-Compton,0.0017257795762913592
4833,nm0788335,Michael Shannon,0.0017257795762913592
2461,nm0829576,Kristen Stewart,0.0017257795762913592
210,nm0000274,David Arquette,0.0017257795762913592
3189,nm0748620,Paul Rudd,0.0016960247560104736
3344,nm0000437,Woody Harrelson,0.0016960247560104736
2628,nm0000499,Bai Ling,0.0016960247560104736
1,nm0413168,Hugh Jackman,0.0016960247560104736
2185,nm0000821,Amitabh Bachchan,0.0016960247560104736
243,nm0001618,Joaquin Phoenix,0.0016960247560104736
233,nm0000123,George Clooney,0.0016960247560104736
52,nm0000461,Michael Ironside,0.0016960247560104736
386,nm0000286,Stephen Baldwin,0.0016662699357295882
684,nm0001057,Toni Collette,0.0016662699357295882
845,nm0001029,Jim Caviezel,0.0016662699357295882
1840,nm0000680,Casper Van Dien,0.0016662699357295882
643,nm0001151,Stephen Dorff,0.0016365151154487027
94,nm0000129,Tom Cruise,0.0016365151154487027
1120,nm0000295,Kate Beckinsale,0.0016365151154487027
4661,nm0518715,Jason London,0.0016365151154487027
10744,nm1333687,Dhanush,0.0016365151154487027
1893,nm0152082,Damian Chapa,0.0016365151154487027
9484,nm3148014,Dawna Lee Heising,0.0016365151154487027
10291,nm0012078,Scott Adkins,0.0016365151154487027
652,nm0000152,Richard Gere,0.001606760295167817
131,nm0000204,Natalie Portman,0.001606760295167817
729,nm0000276,Sean Astin,0.001606760295167817
805,nm0000438,Ed Harris,0.001606760295167817
1325,nm0000225,Christian Slater,0.001606760295167817
2307,nm0608405,Bill Moseley,0.001606760295167817
9692,nm1864017,Maria Olsen,0.001606760295167817
286,nm0000409,Brendan Fraser,0.001606760295167817
479,nm0424060,Scarlett Johansson,0.001606760295167817
316,nm0000551,Dermot Mulroney,0.0015770054748869317
1204,nm0000411,Edward Furlong,0.0015770054748869317
202,nm0330687,Joseph Gordon-Levitt,0.0015770054748869317
215,nm0316079,Paul Giamatti,0.0015770054748869317
2762,nm0005377,Sam Rockwell,0.0015472506546060462
67,nm0000154,Mel Gibson,0.0015472506546060462
6897,nm1475594,Channing Tatum,0.0015472506546060462
6682,nm0447695,Anna Kendrick,0.0015472506546060462
2150,nm0331516,Ryan Gosling,0.0015472506546060462
2178,nm0331577,Luke Goss,0.0015472506546060462
2139,nm0267812,Vera Farmiga,0.0015472506546060462
2726,nm0000658,Meryl Streep,0.0015472506546060462
279,nm0005561,Luke Wilson,0.0015472506546060462
738,nm0000323,Michael Caine,0.0015472506546060462
621,nm0001774,Ben Stiller,0.0015472506546060462
825,nm0001326,Josh Hartnett,0.0015472506546060462
5141,nm0564215,James McAvoy,0.0015174958343251606
787,nm0541908,Costas Mandylor,0.0015174958343251606
4412,nm0241049,Josh Duhamel,0.0015174958343251606
3487,nm0933940,Patrick Wilson,0.0015174958343251606
1193,nm0000545,Helen Mirren,0.0015174958343251606
546,nm0000198,Gary Oldman,0.0015174958343251606
2793,nm0000874,Steven Bauer,0.0014877410140442752
1226,nm0451307,Saif Ali Khan,0.0014877410140442752
4406,nm0731075,Emma Roberts,0.0014877410140442752
1032,nm0000219,Steven Seagal,0.0014877410140442752
403,nm0000792,Tom Arnold,0.0014877410140442752
5163,nm0791898,Tiffany Shepis,0.0014877410140442752
685,nm0185819,Daniel Craig,0.0014877410140442752
2567,nm0931329,Michelle Williams,0.0014877410140442752
2645,nm0787462,Naseeruddin Shah,0.0014877410140442752
1622,nm0004051,Brian Cox,0.0014877410140442752
294,nm0000126,Kevin Costner,0.0014877410140442752
162,nm0000501,Ray Liotta,0.0014877410140442752
7406,nm1567113,Jessica Chastain,0.0014579861937633898
1158,nm0000098,Jennifer Aniston,0.0014579861937633898
105,nm0184392,Martin Kove,0.0014579861937633898
710,nm0000215,Susan Sarandon,0.0014579861937633898
804,nm0001845,Forest Whitaker,0.0014579861937633898
1312,nm0000146,Ralph Fiennes,0.0014579861937633898
1271,nm0000207,Christina Ricci,0.0014579861937633898
1259,nm0000702,Reese Witherspoon,0.0014579861937633898
1373,nm0941777,Sam Worthington,0.0014579861937633898
1884,nm0001667,Jonathan Rhys Meyers,0.0014579861937633898
1203,nm0059215,Mischa Barton,0.0014579861937633898
3517,nm0001376,Isabelle Huppert,0.0014579861937633898
1270,nm0252230,Chiwetel Ejiofor,0.0014579861937633898
2428,nm0328954,Omar Gooding,0.0014579861937633898
1955,nm0705356,Daniel Radcliffe,0.0014579861937633898
9485,nm2766218,Julie Anne Prescott,0.0014579861937633898
6823,nm1631269,Chloë Grace Moretz,0.0014579861937633898
47,nm0000138,Leonardo DiCaprio,0.0014282313734825041
2370,nm0000227,Mira Sorvino,0.0014282313734825041
2107,nm0006795,Salman Khan,0.0014282313734825041
3094,nm0249291,Joel Edgerton,0.0014282313734825041
309,nm0085312,Jack Black,0.0014282313734825041
1682,nm0098378,Kate Bosworth,0.0014282313734825041
704,nm0001763,Nick Stahl,0.0014282313734825041
718,nm0000681,Vince Vaughn,0.0014282313734825041
444,nm0001075,Peter Coyote,0.0014282313734825041
3969,nm1517976,Chris Pine,0.0014282313734825041
911,nm0001424,Udo Kier,0.0014282313734825041
374,nm0000299,Michael Biehn,0.0014282313734825041
1339,nm0001838,Rachel Weisz,0.0014282313734825041
4435,nm0010736,Amy Adams,0.0014282313734825041
9098,nm1374980,Zac Efron,0.0013984765532016187
5387,nm0680983,Elliot Page,0.0013984765532016187
375,nm0000701,Kate Winslet,0.0013984765532016187
4499,nm1057932,Jonathan Bennett,0.0013984765532016187
97,nm0000609,Ving Rhames,0.0013984765532016187
646,nm0000285,Alec Baldwin,0.0013984765532016187
87,nm0000704,Elijah Wood,0.0013984765532016187
7000,nm1521381,Nayanthara,0.0013984765532016187
324,nm0001235,William Forsythe,0.0013984765532016187
1674,nm0051509,Eric Bana,0.0013687217329207333
277,nm0756083,Bill Sage,0.0013687217329207333
2106,nm0004569,Sanjay Dutt,0.0013687217329207333
486,nm0000554,Sam Neill,0.0013687217329207333
1866,nm0000997,Gary Busey,0.0013687217329207333
2205,nm0541909,Louis Mandylor,0.0013687217329207333
4374,nm0518718,Jeremy London,0.0013687217329207333
4264,nm1352774,Jose Rosete,0.0013687217329207333
1907,nm0540441,Jena Malone,0.0013687217329207333
36,nm0000199,Al Pacino,0.0013687217329207333
3949,nm0479471,Shia LaBeouf,0.0013687217329207333
5531,nm0226770,Dileep,0.0013687217329207333
5260,nm1289434,Emily Blunt,0.0013687217329207333
164,nm0000552,Eddie Murphy,0.0013389669126398476
737,nm0206257,Rosario Dawson,0.0013389669126398476
635,nm0001804,Stanley Tucci,0.0013389669126398476
92,nm0000170,Milla Jovovich,0.0013389669126398476
835,nm0000375,Robert Downey Jr.,0.0013389669126398476
993,nm0000241,Jean-Claude Van Damme,0.0013389669126398476
910,nm0000518,John Malkovich,0.0013389669126398476
1163,nm0000202,Ryan Phillippe,0.0013389669126398476
10016,nm4043111,Vijay Sethupathi,0.0013389669126398476
187,nm0000230,Sylvester Stallone,0.0013389669126398476
5289,nm0451234,Irrfan Khan,0.0013389669126398476
603,nm0000120,Jim Carrey,0.0013389669126398476
2227,nm0001117,Bruce Davison,0.0013389669126398476
12384,nm4921260,Dulquer Salmaan,0.0013389669126398476
3334,nm0001758,Timothy Spall,0.0013389669126398476
9719,nm5732707,Tovino Thomas,0.0013389669126398476
2437,nm0001173,Aaron Eckhart,0.0013389669126398476
395,nm0000179,Jude Law,0.0013092120923589622
298,nm0001401,Angelina Jolie,0.0013092120923589622
11317,nm2254074,Bella Thorne,0.0013092120923589622
3421,nm0000657,David Strathairn,0.0013092120923589622
2975,nm0396558,Nicholas Hoult,0.0013092120923589622
263,nm0000473,Diane Keaton,0.0013092120923589622
195,nm0000379,Kirsten Dunst,0.0013092120923589622
200,nm0000619,Tim Roth,0.0013092120923589622
4938,nm0477127,Ryan Kwanten,0.0013092120923589622
10021,nm6489058,Yogi Babu,0.0013092120923589622
8083,nm1055413,Michael Fassbender,0.0013092120923589622
9391,nm2720796,Sarah French,0.0012794572720780766
714,nm0002332,Stephen Lang,0.0012794572720780766
322,nm0613147,Lochlyn Munro,0.0012794572720780766
1646,nm0001626,Christopher Plummer,0.0012794572720780766
2838,nm0719637,Jeremy Renner,0.0012794572720780766
1387,nm0387987,Kane Hodder,0.0012794572720780766
415,nm0751638,James Russo,0.0012794572720780766
159,nm0000244,Sigourney Weaver,0.0012794572720780766
4248,nm0362766,Tom Hardy,0.0012794572720780766
669,nm0005028,Kate Hudson,0.0012794572720780766
7411,nm0470182,Brian Krause,0.0012794572720780766
73,nm0262635,Chris Evans,0.0012794572720780766
6613,nm0726223,Richard Riehle,0.0012497024517971911
56,nm0001108,Robert Davi,0.0012497024517971911
667,nm0722636,John Rhys-Davies,0.0012497024517971911
5837,nm1431656,Emraan Hashmi,0.0012497024517971911
60,nm0000450,Philip Seymour Hoffman,0.0012497024517971911
625,nm0001427,Greg Kinnear,0.0012497024517971911
1954,nm0000300,Juliette Binoche,0.0012497024517971911
2893,nm0176869,Steve Coogan,0.0012497024517971911
10616,nm1500155,Robert Pattinson,0.0012497024517971911
9843,nm1596350,Nawazuddin Siddiqui,0.0012497024517971911
1465,nm0000546,Matthew Modine,0.0012497024517971911
9727,nm8337120,Kj Schrock,0.0012497024517971911
1342,nm0000182,Jennifer Lopez,0.0012497024517971911
